ID,Razón Social,NIT,Sector,Vacantes Encontradas,Última Vacante,Email Encontrado,Teléfono Encontrado,Estado
"1","Colombia Telecomunicaciones S.A. ESP","","Privado",1,"Analista De Nómina y Seguridad Social Bogotá","","","CON VACANTES TI"
"2","Banco Davivienda S.A.","","Privado",1,"Analista De Nómina y Seguridad Social Bogotá","defensordelcliente@davivienda.com.co","3107590522","CON VACANTES TI"
"3","Claro Colombia - Comcel - America Movil - Telmex","","Privado",0,"","","","Sin vacantes"
"4","ALPINA PRODUCTOS ALIMENTICIOS S A","","Privado",0,"","","","Sin vacantes"
"5","Colombia Movil","","Privado",1,"Ingeniero de Redes y Ciberseguridad","","","CON VACANTES TI"
"6","Banco Colpatria Multibanca Colpatria S.A","","Privado",0,"","","","Sin vacantes"
"7","Telefonica Moviles Colombia S A","","Privado",0,"","","","Sin vacantes"
"8","Amazing Colombia S.A","","Privado",0,"","","","Sin vacantes"
"9","Centro de Servicios Mundial S.A.S.","","Privado",0,"","","","Sin vacantes"
"10","PROCIBERNETICA S.A.","","Privado",0,"","","","Sin vacantes"
"11","Tecnocom Colombia SAS","","Privado",0,"","","","Sin vacantes"
"12","Helm Bank SA","","Privado",0,"","","","Sin vacantes"
"13","BANCO DE OCCIDENTE S A","","Privado",0,"","","","Sin vacantes"
"14","Grupo Orbis S.A","","Privado",0,"","","","Sin vacantes"
"15","Equion Energia Limited","","Privado",0,"","","","Sin vacantes"
"16","PONTIFICIA UNIVERSIDAD JAVERIANA","","Privado",0,"","","","Sin vacantes"
"17","Makro Computo S A","","Privado",0,"","","","Sin vacantes"
"18","Tv Azteca Sucursal Colombia","","Privado",0,"","","","Sin vacantes"
"19","Compañia de seguros Positiva","","Privado",0,"","","","Sin vacantes"
"20","ITIS Support Ltda","","Privado",0,"","","","Sin vacantes"
"21","A TODA HORA S A","","Privado",0,"","","","Sin vacantes"
"22","Cementos Argos SA","","Privado",0,"","","","Sin vacantes"
"23","Universidad Autonoma De Occidente","","Privado",0,"","","","Sin vacantes"
"24","Ajover SA","","Privado",0,"","","","Sin vacantes"
"25","Comite de Cafeteros de Caldas","","Privado",0,"","","","Sin vacantes"
"26","UNE EPM Telecomunicaciones SA","","Privado",0,"","","","Sin vacantes"
"27","BBVA","","Privado",0,"","","","Sin vacantes"
"28","Compania Colombiana de Quimicos SA","","Privado",0,"","","","Sin vacantes"
"29","EPS FAMISANAR LTDA","","Privado",0,"","","","Sin vacantes"
"30","E.P.S. FAMISANAR LTDA","","Privado",0,"","","","Sin vacantes"
"31","Colombiana De Comercio SA Corbeta SA YO Alkosto SA","","Privado",0,"","","","Sin vacantes"
"32","Direccion Nacional De Inteligencia","","Privado",0,"","","","Sin vacantes"
"33","Conix S.A.","","Privado",0,"","","","Sin vacantes"
"34","CENTRALES ELECTRICAS DE NORTE DE SANTANDER S A E.S","","Privado",0,"","","","Sin vacantes"
"35","Empresa De Telecomunicaciones De Bucaramanga S.A","","Privado",0,"","","","Sin vacantes"
"36","Banco Agrario De Colombia S A","","Privado",0,"","","","Sin vacantes"
"37","Banco Caja Social","","Privado",0,"","","","Sin vacantes"
"38","UNIVERSIDAD DE LA SALLE","","Privado",0,"","","","Sin vacantes"
"39","BBVA Colombia S.A","","Privado",0,"","","","Sin vacantes"
"40","Experian Colombia S.A.","","Privado",0,"","","","Sin vacantes"
"41","Caja Colombiana De Subsidio Familiar Colsubsidio","","Privado",0,"","","","Sin vacantes"
"42","Universidad De La Sabana","","Privado",0,"","","","Sin vacantes"
"43","Dijon Corporation Ltd.","","Privado",0,"","","","Sin vacantes"
"44","Cooperativa Nacional de Droguistas Detallistas  Copidrogas","","Privado",0,"","","","Sin vacantes"
"45","COVINOC S.A.","","Privado",0,"","","","Sin vacantes"
"46","UNIVERSIDAD DE LOS ANDES","","Privado",0,"","","","Sin vacantes"
"47","FUNDACION UNIVERSIDAD DEL NORTE","","Privado",0,"","","","Sin vacantes"
"48","Avantel S.A.S","","Privado",0,"","","","Sin vacantes"
"49","ELECTRIFICADORA DE SANTANDER S.A. E.S.P.","","Privado",0,"","","","Sin vacantes"
"50","UNIVERSIDAD DE SAN BUENAVENTURA","","Privado",0,"","","","Sin vacantes"
"51","EDATEL S.A. E.S.P.","","Privado",0,"","","","Sin vacantes"
"52","Empresa de Energía del Quindío S.A. E.S.P.","","Privado",0,"","","","Sin vacantes"
"53","BANCOLOMBIA","","Privado",0,"","","","Sin vacantes"
"54","BANCO DE BOGOTA S A","","Privado",0,"","","","Sin vacantes"
"55","CENTRAL HIDROELECTRICA DE CALDAS S A CHEC","","Privado",0,"","","","Sin vacantes"
"56","Nueva Empresa Promotora de Salud S A","","Privado",0,"","","","Sin vacantes"
"57","Caja de Compensacion Familiar de Caldas","","Privado",0,"","","","Sin vacantes"
"58","Banco Sudameris De Colombia Sa","","Privado",0,"","","","Sin vacantes"
"59","Pollos El Bucanero S.A","","Privado",0,"","","","Sin vacantes"
"60","ALMACENES GENERALES DE DEPOSITO DE CAFE S A ALMACA","","Privado",0,"","","","Sin vacantes"
"61","Colombiana de Comercio SA","","Privado",0,"","","","Sin vacantes"
"62","ALCATEL LUCENT DE COLOMBIA S A","","Privado",0,"","","","Sin vacantes"
"63","EMCALI E.I.C.E E.S.P","","Privado",0,"","","","Sin vacantes"
"64","Independence Drilling S.A.","","Privado",0,"","","","Sin vacantes"
"65","SEGUROS COMERCIALES BOLIVAR S A","","Privado",0,"","","","Sin vacantes"
"66","Almacenes LA 14 SA","","Privado",0,"","","","Sin vacantes"
"67","Banco De Las Microfinanzas Bancamia SA","","Privado",0,"","","","Sin vacantes"
"68","CONCESION RUNT SA","","Privado",0,"","","","Sin vacantes"
"69","SOC ADM DE FDOS DE PENSIONES Y CESAN PORVENIR S.A","","Privado",0,"","","","Sin vacantes"
"70","Efectivo Ltda.","","Privado",0,"","","","Sin vacantes"
"71","Asociacion Gremial de Instituciones Financieras Cr","","Privado",0,"","","","Sin vacantes"
"72","Procables S.A.S C.I","","Privado",0,"","","","Sin vacantes"
"73","MULTIDIMENSIONALES S.A.S","","Privado",0,"","","","Sin vacantes"
"74","SIEMENS S.A. COLOMBIA","","Privado",0,"","","","Sin vacantes"
"75","Pegatex  Artecola S.A","","Privado",0,"","","","Sin vacantes"
"76","Seguros Generales Suramericana SA","","Privado",0,"","","","Sin vacantes"
"77","TRANSPORTADORA COMERCIAL COLOMBIANA S.A. (TCC)","","Privado",0,"","","","Sin vacantes"
"78","COOMEVA CALI","","Privado",0,"","","","Sin vacantes"
"79","BANCO POPULAR S A","","Privado",0,"","","","Sin vacantes"
"80","REDEBAN","","Privado",1,"Técnico o tecnólogo en mantenimiento de equipos o redes","","","CON VACANTES TI"
"81","Fundacion Universitaria Tecnologico Comfenalco-Car","","Privado",0,"","","","Sin vacantes"
"82","Corporacion de Acero Corpacero Marco Y E","","Privado",0,"","","","Sin vacantes"
"83","Desca colombia s.a.","","Privado",0,"","","","Sin vacantes"
"84","Level 3 Colombia SA","","Privado",0,"","","","Sin vacantes"
"85","Consorcio PST","","Privado",0,"","","","Sin vacantes"
"86","COMPANIA DE SEGUROS BOLIVAR S.A.","","Privado",0,"","","","Sin vacantes"
"87","Direccion De Investigacion Criminal e Interpol","","Privado",0,"","","","Sin vacantes"
"88","Liberty Seguros S.A","","Privado",0,"","","","Sin vacantes"
"89","UNIVERSIDAD COOPERATIVA DE COLOMBIA","","Privado",0,"","","","Sin vacantes"
"90","Deposito Centralizado de Valores de Colombia Decev","","Privado",0,"","","","Sin vacantes"
"91","Universidad Manuela Beltran","","Privado",0,"","","","Sin vacantes"
